run_id,batch_id,idx,pair_id,cell_id,flip,benchmark_version,physics_version,prompt_version,spec_fingerprint,model_requested_a,model_requested_b,model_used_a,model_used_b,provider_a,provider_b,seed,weapon,arena,control_mode,sharp,match_length,fallback_policy,voter_tier,latency_ms_a,latency_ms_b,latency_ms_max_a,latency_ms_max_b,prompt_tokens_a,completion_tokens_a,prompt_tokens_b,completion_tokens_b,api_calls_a,api_calls_b,invalid_actions_a,invalid_actions_b,fallback_turns_a,fallback_turns_b,fallback_status,eligibility_status,evidence,status,error,match_id,winner_side,winner_model,method,turns,damage_a,damage_b,wall_s,created
cal-dryrun-2026-09-09,local,21,bot:pro|bot:greedy,bow/normal/joint,False,1.0,1.0,2,09de66effd02,bot:pro,bot:greedy,bot:pro,bot:greedy,scripted,scripted,20260930,bow,normal,joint,arrowhead,sprint,strict,,0.3,0.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:greedy,kill,4,0.0,104.5,0.1,1788950998.9544914
cal-dryrun-2026-09-09,local,22,bot:pro|bot:greedy,bow/ice/macro,False,1.0,1.0,2,09de66effd02,bot:pro,bot:greedy,bot:pro,bot:greedy,scripted,scripted,20260931,bow,ice,macro,arrowhead,sprint,strict,,0.3,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,97.8,86.3,0.1,1788950999.0537808
cal-dryrun-2026-09-09,local,23,bot:pro|bot:greedy,bow/ice/joint,False,1.0,1.0,2,09de66effd02,bot:pro,bot:greedy,bot:pro,bot:greedy,scripted,scripted,20260932,bow,ice,joint,arrowhead,sprint,strict,,0.3,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,kill,2,72.0,61.0,0.1,1788950999.1716878
cal-dryrun-2026-09-09,local,24,bot:pro|bot:greedy,sword/normal/macro,True,1.0,1.0,2,09de66effd02,bot:greedy,bot:pro,bot:greedy,bot:pro,scripted,scripted,20260933,sword,normal,macro,tip,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:greedy,points,4,24.7,4.6,0.1,1788950999.236972
cal-dryrun-2026-09-09,local,25,bot:pro|bot:greedy,sword/normal/joint,True,1.0,1.0,2,09de66effd02,bot:greedy,bot:pro,bot:greedy,bot:pro,scripted,scripted,20260934,sword,normal,joint,tip,sprint,strict,,0.3,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:greedy,points,4,24.7,4.6,0.1,1788950999.3615224
cal-dryrun-2026-09-09,local,26,bot:pro|bot:greedy,sword/ice/macro,True,1.0,1.0,2,09de66effd02,bot:greedy,bot:pro,bot:greedy,bot:pro,scripted,scripted,20260935,sword,ice,macro,tip,sprint,strict,,0.3,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,points,4,0.0,8.0,0.1,1788950999.484009
cal-dryrun-2026-09-09,local,27,bot:pro|bot:greedy,sword/ice/joint,True,1.0,1.0,2,09de66effd02,bot:greedy,bot:pro,bot:greedy,bot:pro,scripted,scripted,20260936,sword,ice,joint,tip,sprint,strict,,0.3,0.2,0.4,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,points,4,0.0,8.0,0.1,1788950999.607959
cal-dryrun-2026-09-09,local,28,bot:pro|bot:greedy,bow/normal/macro,True,1.0,1.0,2,09de66effd02,bot:greedy,bot:pro,bot:greedy,bot:pro,scripted,scripted,20260937,bow,normal,macro,arrowhead,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:greedy,points,4,47.5,30.4,0.1,1788950999.7318003
cal-dryrun-2026-09-09,local,29,bot:pro|bot:greedy,bow/normal/joint,True,1.0,1.0,2,09de66effd02,bot:greedy,bot:pro,bot:greedy,bot:pro,scripted,scripted,20260938,bow,normal,joint,arrowhead,sprint,strict,,0.2,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,points,4,26.6,60.8,0.1,1788950999.8453798
cal-dryrun-2026-09-09,local,30,bot:pro|bot:greedy,bow/ice/macro,True,1.0,1.0,2,09de66effd02,bot:greedy,bot:pro,bot:greedy,bot:pro,scripted,scripted,20260939,bow,ice,macro,arrowhead,sprint,strict,,0.2,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,kill,4,14.6,104.0,0.1,1788950999.950656
